Name,Country_id,Country,Cloudiness (%),Max Temperature (F),Latitude (Deg),Humidity (%),Wind Speed (mph)
Tiznit,2527089.0,MA,8.0,48.18,29.7,99.0,1.59
Calama,3897347.0,CL,0.0,55.4,-22.46,43.0,8.05
Vauvert,6431476.0,FR,92.0,42.8,43.69,93.0,4.7
Saldanha,2737599.0,PT,0.0,32.97,41.42,93.0,5.95
Mataura,6201424.0,NZ,100.0,54.21,-46.19,96.0,24.07
Vila Velha,6320062.0,BR,20.0,77.0,-3.71,94.0,3.36
Rikitea,4030556.0,PF,92.0,80.22,-23.12,99.0,13.56
Princeton,4906818.0,US,1.0,12.2,41.37,74.0,13.87
Jamestown,2069194.0,AU,0.0,77.34,-33.21,82.0,5.39
Mar del Plata,3863379.0,AR,0.0,71.04,-46.43,37.0,18.48
Megion,1499053.0,RU,90.0,19.4,61.04,85.0,6.71
Antofagasta,3899539.0,CL,75.0,62.6,-23.65,82.0,4.7
Upernavik,3418910.0,GL,56.0,-8.52,72.79,100.0,9.64
Severo-Kurilsk,2121385.0,RU,88.0,33.24,50.68,95.0,12.21
Punta Arenas,3874787.0,CL,20.0,48.2,-53.16,92.0,19.46
Fort Nelson,5955902.0,CA,90.0,-2.21,58.81,84.0,3.36
Port Elizabeth,4501427.0,US,90.0,46.4,39.31,96.0,11.41
Tuktoyaktuk,6170031.0,CA,75.0,-4.01,69.44,76.0,8.05
Manaus,3663517.0,BR,20.0,75.2,-3.13,88.0,4.7
Muroto,1856392.0,JP,75.0,60.8,33.37,44.0,17.22
Verkhnetulomskiy,475469.0,RU,40.0,-25.61,68.61,67.0,2.24
Miandrivazo,1059051.0,MG,48.0,79.23,-19.53,94.0,3.94
Dikson,1507390.0,RU,76.0,6.6,73.51,100.0,5.95
Kananga,214481.0,CD,80.0,71.04,-5.9,96.0,3.6
Mount Isa,2065594.0,AU,0.0,107.6,-20.73,16.0,14.99
Hithadhoo,1282256.0,MV,88.0,79.41,-0.6,100.0,7.74
Vila Franca do Campo,3372472.0,PT,20.0,51.8,37.72,87.0,8.05
Constitucion,4011743.0,MX,0.0,32.7,23.99,73.0,2.82
Hit,95788.0,IQ,0.0,34.77,33.64,76.0,2.59
Clyde River,5924351.0,CA,90.0,-20.21,70.47,82.0,11.65
Busselton,2075265.0,AU,0.0,84.63,-33.64,62.0,6.06
Huarmey,3939168.0,PE,0.0,61.41,-10.07,92.0,1.59
Arraial do Cabo,3471451.0,BR,48.0,76.53,-22.97,91.0,13.56
Meulaboh,1214488.0,ID,76.0,79.5,4.14,100.0,5.84
Atuona,4020109.0,PF,80.0,80.58,-9.8,100.0,15.23
Coihaique,3894426.0,CL,0.0,57.2,-45.58,67.0,2.24
Kamaishi,2112444.0,JP,75.0,41.0,39.28,65.0,3.36
Butaritari,2110227.0,KI,88.0,82.92,3.07,100.0,14.9
Luderitz,3355672.0,NA,0.0,64.29,-26.65,55.0,9.98
Los Llanos de Aridane,2514651.0,ES,0.0,62.6,28.66,77.0,13.87
Kondinskoye,1502697.0,RU,88.0,18.21,59.65,85.0,5.17
Fort Dodge,4857486.0,US,75.0,-0.41,42.5,70.0,8.05
Barrow,3833859.0,AR,0.0,63.3,-38.31,66.0,13.33
Aklavik,5882953.0,CA,90.0,-5.81,68.22,76.0,2.24
Lagoa,2267254.0,PT,20.0,55.4,37.14,87.0,13.87
Ushuaia,3833367.0,AR,40.0,46.4,-54.81,61.0,5.82
Yulara,6355222.0,AU,68.0,105.8,-25.24,11.0,14.99
Skibbereen,2961459.0,IE,75.0,44.6,51.55,93.0,14.99
Airai,1651810.0,TL,88.0,76.71,-8.93,86.0,2.26
Ndioum,2247684.0,SN,0.0,54.03,16.51,31.0,11.21
Khatanga,2022572.0,RU,64.0,-12.21,71.98,77.0,6.96
Bonthe,2409914.0,SL,0.0,75.72,7.53,99.0,2.93
Zhangjiakou,2033196.0,CN,0.0,22.71,40.77,25.0,12.21
Cacu,3468352.0,BR,0.0,66.54,-18.56,96.0,2.82
Cape Town,3369157.0,ZA,0.0,60.8,-33.93,63.0,5.82
Saskylakh,2017155.0,RU,76.0,-20.76,71.97,89.0,10.54
Comodoro Rivadavia,3860443.0,AR,0.0,75.2,-45.87,36.0,12.75
Hobart,2163355.0,AU,0.0,80.6,-42.88,26.0,18.34
Bethel,5880568.0,US,90.0,12.92,60.79,83.0,6.93
Romitan,1217662.0,UZ,90.0,37.4,39.93,74.0,16.11
Udachnyy,2014624.0,RU,56.0,-9.42,66.42,80.0,2.59
Bluff,2175403.0,AU,0.0,94.26,-23.58,31.0,14.79
Lazaro Cardenas,3996234.0,MX,0.0,31.8,28.39,61.0,2.82
Albany,5106834.0,US,90.0,23.0,42.65,79.0,3.36
Nanortalik,3421765.0,GL,44.0,24.06,60.14,100.0,21.72
Saint-Philippe,6138908.0,CA,90.0,-5.81,45.36,70.0,20.8
Ahipara,2194098.0,NZ,0.0,71.4,-35.17,81.0,6.51
Tuatapere,2180815.0,NZ,56.0,54.12,-46.13,100.0,25.41
Arroyo,5208292.0,US,90.0,30.02,41.39,92.0,8.05
Kutum,371745.0,SD,0.0,50.43,14.2,74.0,4.27
Vaini,1273574.0,IN,0.0,77.0,15.34,41.0,9.17
Morro Bay,5374920.0,US,1.0,57.92,35.37,69.0,4.7
Bredasdorp,1015776.0,ZA,24.0,60.8,-34.53,63.0,5.82
Santander,1687965.0,PH,90.0,78.8,9.42,94.0,11.41
Pavino,1495483.0,RU,90.0,30.2,55.02,80.0,11.18
Ponta do Sol,3453439.0,BR,32.0,65.1,-20.63,94.0,3.94
Lasa,146639.0,CY,40.0,51.8,34.92,81.0,9.17
Tabou,2281120.0,CI,80.0,78.78,4.42,100.0,7.74
Seoul,1835848.0,KR,1.0,37.4,37.57,21.0,5.82
Baherden,162158.0,TM,80.0,39.18,38.44,90.0,5.06
Georgetown,3378644.0,GY,100.0,73.65,6.8,97.0,6.85
Cacequi,3468553.0,BR,88.0,65.55,-29.88,89.0,13.11
Wiang Sa,1149878.0,TH,40.0,87.8,8.64,70.0,11.41
Mumford,2297810.0,GH,0.0,75.36,5.26,93.0,6.96
Kahului,5847411.0,US,75.0,73.94,20.89,93.0,3.36
Tottori,1849892.0,JP,75.0,46.4,35.5,87.0,12.75
Nome,4732862.0,US,1.0,37.04,30.04,66.0,16.11
Te Anau,2181625.0,NZ,92.0,51.15,-45.41,95.0,13.33
Thompson,6165406.0,CA,5.0,-32.81,55.74,73.0,4.94
Cockburn Town,3576994.0,TC,0.0,78.24,21.46,100.0,19.82
Avarua,4035715.0,CK,75.0,82.4,-21.21,78.0,3.36
Sorong,1626542.0,ID,12.0,84.9,-0.86,99.0,10.76
Scarborough,2638419.0,GB,0.0,37.4,54.28,93.0,3.36
Wahiawa,5853992.0,US,75.0,75.92,21.5,78.0,10.29
Mackay,5921525.0,CA,20.0,5.0,53.65,84.0,5.82
East London,1006984.0,ZA,75.0,62.6,-33.02,63.0,4.7
Finschhafen,2097418.0,PG,80.0,79.05,-6.6,88.0,1.92
Dunedin,2191562.0,NZ,56.0,59.7,-45.87,67.0,20.83
Samarai,2132606.0,PG,92.0,79.41,-10.62,100.0,15.23
Kapaa,5848280.0,US,75.0,73.94,22.08,78.0,14.99
Itarema,3393692.0,BR,76.0,74.28,-2.92,95.0,3.94
Havelock,4470244.0,US,1.0,64.04,34.88,86.0,14.99
Longyearbyen,2729907.0,NO,20.0,-2.21,78.22,64.0,5.82
Marzuq,72181.0,YE,0.0,60.51,14.4,72.0,3.38
Bambous Virieux,1106677.0,MU,20.0,84.2,-20.34,74.0,14.99
Stawell,2148431.0,AU,0.0,79.23,-37.06,63.0,11.1
Tomatlan,3981391.0,MX,8.0,65.19,19.93,81.0,2.71
Salinas,5391295.0,US,1.0,55.4,36.67,93.0,4.7
Bathsheba,3374083.0,BB,40.0,77.0,13.22,73.0,12.75
Bilibino,2126682.0,RU,12.0,-39.84,68.06,0.0,2.59
Caazapa,3439297.0,PY,0.0,68.43,-26.15,92.0,3.38
Aksu,1524298.0,KZ,75.0,28.4,52.04,86.0,8.95
New Norfolk,2155415.0,AU,0.0,80.6,-42.78,26.0,18.34
Botwood,5906229.0,CA,75.0,6.8,49.14,65.0,14.99
Yumen,1528998.0,CN,0.0,21.54,40.29,97.0,2.59
Port Alfred,964432.0,ZA,44.0,61.77,-33.59,100.0,5.39
Rabo de Peixe,3372745.0,PT,20.0,51.8,37.8,87.0,8.05
Sioux Lookout,6148373.0,CA,5.0,-23.81,50.1,73.0,4.7
Blieskastel,2947739.0,DE,0.0,23.0,49.24,85.0,5.82
Provideniya,4031574.0,RU,80.0,13.35,64.42,100.0,7.18
Kapit,1737185.0,MY,92.0,78.42,2.02,88.0,2.93
Oranjemund,3354071.0,ZA,0.0,62.4,-28.55,93.0,22.95
